Lon,Lat,C_K_L_ESM,B_K_L_ESM,U_K_L_ESM
21,63,0.439842075,0.399283811,0.160874114
21,64,0.441577709,0.392225623,0.166196667
21,65,0.425056792,0.388566907,0.186376302
21,66,0.432053212,0.378917636,0.189029152
21,67,0.41569788,0.379174605,0.205127515
21,68,0.410673162,0.371985473,0.217341365
21,69,0.340632465,0.388387005,0.270980531
21,70,0.248259843,0.427850269,0.323889888
21,71,0.305471665,0.429638322,0.264890013
22,45,0.463963355,0.285784558,0.250252087
22,46,0.571236463,0.250658258,0.178105279
22,47,0.475784588,0.302317793,0.221897619
22,48,0.415160439,0.327159112,0.257680449
22,49,0.499414594,0.299004659,0.201580748
22,50,0.48961612,0.322138413,0.188245467
22,51,0.444687786,0.350064523,0.205247692
22,52,0.426498694,0.363134653,0.210366654
22,53,0.435269181,0.358262807,0.206468013
22,54,0.460243688,0.342561092,0.19719522
22,55,0.483576617,0.318638264,0.19778512
22,56,0.525488455,0.289688259,0.184823285
22,57,0.533104536,0.287606945,0.179288519
22,58,0.531610771,0.306760503,0.161628726
22,59,0.48490376,0.350835314,0.164260926
22,61,0.406409971,0.408643041,0.184946989
22,62,0.451336435,0.3918165,0.156847065
22,63,0.457840227,0.389880005,0.152279768
22,64,0.462848181,0.37890571,0.158246109
22,66,0.440014378,0.369384504,0.190601118
22,67,0.433590007,0.365035015,0.201374977
22,68,0.430490456,0.358038447,0.211471097
22,69,0.410884476,0.356135841,0.232979683
22,70,0.296724078,0.405675874,0.297600048
22,71,0.273027756,0.407487101,0.319485143
23,45,0.431960154,0.293923945,0.274115901
23,46,0.580949992,0.249536702,0.169513306
23,47,0.523668418,0.282202054,0.194129529
23,48,0.530583655,0.274114512,0.195301833
23,49,0.581654046,0.268665993,0.149679962
23,50,0.501948127,0.316775285,0.181276588
23,51,0.466253284,0.33551635,0.198230366
23,52,0.467090347,0.337084987,0.195824666
23,53,0.483396897,0.32461619,0.191986913
23,54,0.517795963,0.304238243,0.177965794
23,55,0.531077749,0.288428061,0.18049419
23,56,0.539007731,0.280998105,0.179994164
23,57,0.524756807,0.296043396,0.179199797
23,58,0.516846965,0.321245428,0.161907607
23,59,0.476635511,0.363034474,0.160330015
23,60,0.483843005,0.37075361,0.145403385
23,61,0.458966754,0.380503989,0.160529257
23,62,0.488409916,0.367760079,0.143830006
23,63,0.50040384,0.361341738,0.138254423
23,64,0.496047518,0.35791852,0.146033962
23,65,0.483206665,0.357580608,0.159212728
23,66,0.457230763,0.351412628,0.191356609
23,67,0.453615952,0.349960151,0.196423897
23,68,0.451048828,0.342018298,0.206932874
23,69,0.437283788,0.340421195,0.222295018
23,70,0.323371113,0.379579125,0.297049762
23,71,0.352804775,0.388744796,0.258450429
24,45,0.45250941,0.294064737,0.253425853
24,46,0.529375474,0.278848245,0.19177628
24,47,0.540488583,0.262499672,0.197011745
24,48,0.614517138,0.237126626,0.148356235
24,49,0.574785895,0.273951386,0.151262719
24,50,0.492170383,0.316431527,0.191398091
24,51,0.503795918,0.313601183,0.1826029
24,52,0.526682507,0.301631172,0.171686321
24,53,0.512131249,0.300431514,0.187437237
24,54,0.560597995,0.27244202,0.166959985
24,55,0.586132925,0.256400106,0.157466969
24,56,0.579440956,0.256875069,0.163683976
24,57,0.549443919,0.286171674,0.164384407
24,58,0.511466598,0.330822864,0.157710538
24,59,0.451294254,0.385789765,0.16291598
24,60,0.474125682,0.379535422,0.146338896
24,61,0.490114468,0.363320215,0.146565317
24,62,0.531107641,0.34075788,0.128134479
24,63,0.54479201,0.330909091,0.1242989
24,64,0.524896722,0.338242718,0.136860561
24,65,0.504560742,0.341968943,0.153470316
24,66,0.481841662,0.338188728,0.17996961
24,67,0.475841555,0.334845588,0.189312857
24,68,0.469014136,0.329402325,0.201583538
24,69,0.443382794,0.332148448,0.224468758
24,70,0.365948273,0.363019129,0.271032598
24,71,0.347343596,0.380902846,0.271753558
25,45,0.446596491,0.297923468,0.255480041
25,46,0.60671953,0.233263341,0.160017129
25,47,0.639569865,0.217338329,0.143091806
25,48,0.581094579,0.261838967,0.157066454
25,49,0.518084724,0.296487383,0.185427893
25,50,0.516762473,0.300248827,0.182988699
25,51,0.517272236,0.300994051,0.181733713
25,52,0.54511376,0.285685356,0.169200884
25,53,0.575106446,0.264379451,0.160514103
25,54,0.586768812,0.252506933,0.160724255
25,55,0.635192806,0.225971619,0.138835575
25,56,0.644282887,0.21990291,0.135814202
25,57,0.587177951,0.263049765,0.149772285
25,58,0.537297553,0.31362668,0.149075767
25,59,0.493612529,0.358770027,0.147617444
25,60,0.503374128,0.364626308,0.131999565
25,61,0.483831888,0.365418328,0.150749784
25,62,0.544777674,0.332070701,0.123151624
25,63,0.558227767,0.319222672,0.122549561
25,64,0.548671778,0.319184112,0.13214411
25,65,0.531201157,0.32138623,0.147412613
25,66,0.518572338,0.317733758,0.163693904
25,67,0.484791952,0.325173108,0.190034941
25,68,0.467917893,0.326803101,0.205279007
25,69,0.442062471,0.332475111,0.225462418
25,70,0.377477939,0.360150123,0.262371938
25,71,0.352490983,0.375700353,0.271808665
26,45,0.413785115,0.315780572,0.270434313
26,46,0.543602289,0.267024913,0.189372798
26,47,0.52269608,0.285680417,0.191623503
26,48,0.47085476,0.310134141,0.219011099
26,49,0.494295404,0.302476438,0.203228158
26,50,0.486884029,0.309293847,0.203822123
26,51,0.520445664,0.295305357,0.184248978
26,52,0.56084091,0.273619398,0.165539692
26,53,0.597277711,0.250745794,0.151976495
26,54,0.615985194,0.236030797,0.147984009
26,55,0.635003509,0.226136335,0.138860156
26,56,0.627805136,0.232413777,0.139781087
26,57,0.590416029,0.263441362,0.146142609
26,58,0.554092388,0.30548052,0.140427093
26,59,0.522243776,0.33955093,0.138205294
26,60,0.525804335,0.34688619,0.127309475
26,61,0.511274213,0.347987902,0.140737885
26,62,0.562514081,0.317958874,0.119527045
26,63,0.574112855,0.30507662,0.120810525
26,64,0.570911266,0.300604507,0.128484227
26,65,0.560658593,0.298149902,0.141191506
26,66,0.533806002,0.301551968,0.164642031
26,67,0.496618355,0.312821065,0.19056058
26,68,0.46648244,0.322541008,0.210976552
26,69,0.449286854,0.327370403,0.223342743
26,70,0.356951102,0.362737154,0.280311744
26,71,0.330775917,0.379071976,0.290152107
27,45,0.333167528,0.358452526,0.308379946
27,46,0.420381403,0.328181911,0.251436686
27,47,0.442607284,0.321027705,0.236365011
27,48,0.477306078,0.307240804,0.215453118
27,49,0.545744494,0.279474168,0.174781338
27,50,0.520627833,0.29101729,0.188354877
27,51,0.546592011,0.281096235,0.172311754
27,52,0.563792427,0.269808902,0.166398671
27,53,0.604051492,0.245768703,0.150179805
27,54,0.618028664,0.235985966,0.145985371
27,55,0.622103359,0.236045735,0.141850906
27,56,0.620460052,0.242066418,0.13747353
27,57,0.577507312,0.275790904,0.146701785
27,58,0.531889715,0.316554496,0.151555789
27,59,0.50284365,0.346324338,0.150832013
27,60,0.539947133,0.33673198,0.123320887
27,61,0.536282195,0.332656102,0.131061704
27,62,0.568748448,0.310928693,0.120322859
27,63,0.577631168,0.298926082,0.12344275
27,64,0.583548157,0.28736396,0.129087883
27,65,0.572062889,0.282641368,0.145295744
27,66,0.525775822,0.294910025,0.179314153
27,67,0.493035931,0.306288374,0.200675695
27,68,0.465062135,0.319879444,0.215058421
27,69,0.429316794,0.336050028,0.234633178
