Lon,Lat,C_K_L_ESM,B_K_L_ESM,U_K_L_ESM
14,48,0.489653861,0.135830484,0.374515655
14,49,0.39517971,0.16071211,0.44410818
14,50,0.370678415,0.178114188,0.451207397
14,51,0.320665076,0.20192572,0.477409204
14,52,0.242791857,0.21956056,0.537647583
14,53,0.192149796,0.226168665,0.581681539
14,54,0.16294746,0.227642543,0.609409997
14,56,0.190738382,0.269273828,0.53998779
14,57,0.256948122,0.289443783,0.453608095
14,58,0.316363206,0.297930642,0.385706152
14,59,0.346470287,0.286199205,0.367330509
14,60,0.401479874,0.268774612,0.329745514
14,61,0.454351182,0.246858397,0.298790421
14,62,0.474092679,0.23560101,0.290306311
14,63,0.457888243,0.239702807,0.30240895
14,64,0.448216329,0.232340461,0.31944321
14,65,0.334174651,0.245909663,0.419915687
14,66,0.253749759,0.254734574,0.491515667
14,67,0.198787321,0.285515756,0.515696924
14,68,0.240474867,0.292513894,0.467011239
14,69,0.172483682,0.303369764,0.524146554
15,45,0.319700235,0.148370075,0.53192969
15,46,0.33078551,0.146597146,0.522617344
15,47,0.366471018,0.136466809,0.497062173
15,48,0.438572563,0.141445719,0.419981718
15,49,0.349352195,0.15948958,0.491158225
15,50,0.382536422,0.171132548,0.446331031
15,51,0.349812066,0.190369688,0.459818246
15,52,0.214178494,0.203906365,0.581915141
15,53,0.196078059,0.200093821,0.60382812
15,54,0.184692159,0.202699091,0.61260875
15,55,0.144084717,0.209291221,0.646624062
15,57,0.261924002,0.240239834,0.497836164
15,58,0.317879729,0.261476448,0.420643823
15,59,0.345162452,0.268525676,0.386311872
15,60,0.397285436,0.261092726,0.341621838
15,61,0.460144787,0.247272581,0.292582633
15,62,0.479228133,0.239491362,0.281280506
15,63,0.478725778,0.239562064,0.281712158
15,64,0.452195118,0.243372524,0.304432358
15,65,0.392895712,0.247128762,0.359975527
15,66,0.261120023,0.262365576,0.476514401
15,67,0.193726208,0.294077852,0.51219594
15,68,0.22294464,0.314966411,0.46208895
15,69,0.198952069,0.334383667,0.466664265
16,45,0.344212005,0.155803375,0.499984619
16,46,0.21290826,0.161544392,0.625547348
16,47,0.258458901,0.157617868,0.583923231
16,48,0.31332876,0.158131511,0.528539728
16,49,0.260351393,0.156636184,0.583012423
16,50,0.349467672,0.162945901,0.487586428
16,51,0.346598148,0.181623252,0.4717786
16,52,0.193261324,0.184556129,0.622182546
16,53,0.199986309,0.175869329,0.624144362
16,54,0.208526191,0.179319505,0.612154305
16,55,0.188637528,0.184098337,0.627264135
16,57,0.225621137,0.211345841,0.563033022
16,58,0.302388573,0.237904847,0.45970658
16,59,0.33615317,0.252933652,0.410913179
16,60,0.388644266,0.253096749,0.358258985
16,61,0.449422696,0.244969952,0.305607352
16,62,0.473369417,0.23889689,0.287733693
16,63,0.479072311,0.242005134,0.278922555
16,64,0.453200339,0.250593055,0.296206606
16,65,0.405171884,0.261648087,0.33318003
16,66,0.315503583,0.275391468,0.40910495
16,67,0.225788758,0.299424937,0.474786305
16,68,0.166518779,0.34561722,0.487864002
16,69,0.207094732,0.370411592,0.422493676
17,45,0.34032493,0.159280258,0.500394812
17,46,0.241227688,0.164870627,0.593901686
17,47,0.237755942,0.164239627,0.598004431
17,48,0.24376788,0.161006132,0.595225989
17,49,0.277247893,0.153472655,0.569279452
17,50,0.302577785,0.161573511,0.535848703
17,51,0.287241038,0.171209049,0.541549912
17,52,0.216689913,0.166298118,0.617011968
17,53,0.180915628,0.155608529,0.663475843
17,54,0.189587374,0.160230172,0.650182454
17,55,0.194752984,0.166899519,0.638347497
17,59,0.328295973,0.239231803,0.432472224
17,60,0.363775621,0.250878508,0.385345871
17,61,0.421960636,0.250466845,0.32757252
17,62,0.433141931,0.252641453,0.314216617
17,63,0.460318438,0.247436599,0.292244963
17,64,0.455359377,0.253358012,0.291282611
17,65,0.405088228,0.27771997,0.317191801
17,66,0.344874739,0.295780906,0.359344355
17,67,0.271516479,0.310277117,0.418206404
17,68,0.158372601,0.361463136,0.480164263
17,69,0.184750722,0.410016882,0.405232396
17,70,0.188529568,0.416778799,0.394691633
18,45,0.295450235,0.169980295,0.53456947
18,46,0.205037751,0.169999445,0.624962804
18,47,0.221577863,0.167959516,0.610462621
18,48,0.246018578,0.158990013,0.59499141
18,49,0.306612833,0.15177751,0.541609657
18,50,0.32649607,0.159242453,0.514261476
18,51,0.25902667,0.161011051,0.579962279
18,52,0.208469028,0.156400864,0.635130108
18,53,0.17523709,0.148125835,0.676637075
18,54,0.179357131,0.153356576,0.667286293
18,55,0.185447824,0.157004142,0.657548034
18,58,0.288753364,0.21551342,0.495733216
18,60,0.367043478,0.243052934,0.389903588
18,61,0.396905391,0.249774637,0.353319972
18,63,0.445110576,0.254191485,0.300697939
18,64,0.444211436,0.262780821,0.293007743
18,65,0.417301081,0.282712266,0.299986653
18,66,0.376602355,0.304312953,0.319084693
18,67,0.292086984,0.328315056,0.37959796
18,68,0.224986118,0.365984444,0.409029438
18,69,0.156370433,0.430638962,0.412990605
18,70,0.205626485,0.438872123,0.355501392
19,45,0.270855389,0.178716251,0.55042836
19,46,0.175567672,0.177307807,0.647124522
19,47,0.21072137,0.176122227,0.613156403
19,48,0.269121086,0.158212223,0.572666691
19,49,0.34336251,0.148341158,0.508296333
19,50,0.341869426,0.158274038,0.499856536
19,51,0.254454462,0.157299769,0.588245769
19,52,0.210570129,0.154952901,0.634476971
19,53,0.178726427,0.152075845,0.669197728
19,54,0.176264465,0.158259428,0.665476107
19,55,0.166820472,0.163475181,0.669704347
19,64,0.430037229,0.265671572,0.304291199
19,65,0.42460941,0.282413492,0.292977099
19,66,0.39096602,0.305981961,0.303052019
19,67,0.315393942,0.336813739,0.347792319
19,68,0.281035729,0.360904398,0.358059873
19,69,0.205194451,0.414346057,0.380459492
19,70,0.205046666,0.436954775,0.357998559
20,45,0.198992625,0.190253464,0.610753912
20,46,0.137329786,0.184678429,0.677991786
20,47,0.173048273,0.186249432,0.640702295
20,48,0.226482021,0.173486825,0.600031155
20,49,0.332168359,0.162397963,0.505433678
20,50,0.333985091,0.171648603,0.494366307
20,51,0.221232655,0.160445332,0.618322013
20,52,0.217609256,0.158979638,0.623411107
20,53,0.190533587,0.158875431,0.650590982
20,54,0.202218347,0.167513071,0.630268582
20,55,0.200384786,0.178225082,0.621390131
20,64,0.405359291,0.267252271,0.327388438
20,65,0.403460048,0.282258484,0.314281468
20,66,0.388452833,0.297778464,0.313768703
20,67,0.357019534,0.314429041,0.328551425
20,68,0.283544555,0.340659505,0.375795941
20,69,0.23915818,0.375571048,0.385270772
20,70,0.158599469,0.413777003,0.427623528
20,71,0.200447672,0.413841903,0.385710425
21,45,0.253054725,0.195711482,0.551233793
21,46,0.184352116,0.198080494,0.61756739
21,47,0.178207443,0.198550422,0.623242135
21,48,0.222034466,0.193527984,0.58443755
21,49,0.268157708,0.182903793,0.548938499
21,50,0.267943413,0.181465605,0.550590982
21,51,0.209764121,0.16857716,0.621658719
